"id","company","repository","stage","round_size","year","month","lead_investor","has_repo","has_github","github_name","date","link"
"392","Socket","https://github.com/SocketDev/wormhole-crypto","Seed","4.60","2022","5","Elad Gil","1","1","SocketDev/wormhole-crypto","2022-05-01 00:00:00","https://socket.dev/blog/series-seed"
"393","Soda","https://github.com/sodadata/soda-sql","A","14.00","2021","2","Singular","1","1","sodadata/soda-sql","2021-02-01 00:00:00","https://www.soda.io/press/soda-raises-eu11-5m-in-series-a-funding"
"394","Solo","https://github.com/solo-io/gloo","B","23.00","2020","10","Redpoint Ventures","1","1","solo-io/gloo","2020-10-01 00:00:00","https://www.solo.io/our-news/solo-io-bolsters-company-product-and-cloud-native-community-innovation-with-new-funding-round/"
"395","Solo","https://github.com/solo-io/gloo","C","135.00","2021","10","Altimeter","1","1","solo-io/gloo","2021-10-01 00:00:00","https://www.globenewswire.com/news-release/2021/10/07/2310288/0/en/Solo-io-Advances-Application-Networking-Market-with-135-Million-Series-C-Funding.html"
"396","Sonar","https://github.com/SonarSource/sonarqube","Growth","412.00","2022","4","Advent International","1","1","SonarSource/sonarqube","2022-04-01 00:00:00","https://www.businesswire.com/news/home/20220426005213/en/SonarSource-the-Leading-Platform-for-Clean-Code-Raises-412-Million-in-New-Investment"
"397","Sourcegraph","https://github.com/sourcegraph/sourcegraph","C","50.00","2020","12","Sequoia Capital","1","1","sourcegraph/sourcegraph","2020-12-01 00:00:00","https://about.sourcegraph.com/blog/series-c-with-sequoia/"
"398","Sourcegraph","https://github.com/sourcegraph/sourcegraph","B","23.00","2020","3","Craft Ventures","1","1","sourcegraph/sourcegraph","2020-03-01 00:00:00","https://about.sourcegraph.com/press-releases/sourcegraph-secures-series-b"
"399","Sourcegraph","https://github.com/sourcegraph/sourcegraph","D","125.00","2021","7","Andreessen Horowitz","1","1","sourcegraph/sourcegraph","2021-07-01 00:00:00","https://techcrunch.com/2021/07/13/sourcegraph-raises-125m-series-d-on-2-6b-valuation-for-universal-code-search-tool/"
"400","Spacedrive","https://github.com/spacedriveapp/spacedrive","Seed","2.00","2022","6","OSS Capital","1","1","spacedriveapp/spacedrive","2022-06-01 00:00:00","https://www.spacedrive.com/blog/spacedrive-funding-announcement"
"401","Spacelift","https://github.com/spacelift-io","B","15.00","2021","10","Insight Partners","0","1","spacelift-io","2021-10-01 00:00:00","https://spacelift.io/blog/spacelift-raises-15m"
"402","Speckle","https://github.com/specklesystems/speckle-server","Seed","5.50","2022","4","Frontline Ventures","1","1","specklesystems/speckle-server","2022-04-01 00:00:00","https://speckle.systems/blog/growing-the-speckle-seed/"
"403","Spectro Cloud","https://github.com/kubernetes/kubernetes","B","40.00","2022","3","Stripes","1","1","kubernetes/kubernetes","2022-03-01 00:00:00","https://www.spectrocloud.com/news/spectro-cloud-closes-40m-series-b-round/"
"404","Spectro Cloud","https://github.com/kubernetes/kubernetes","A","20.00","2021","8","Stripes","1","1","kubernetes/kubernetes","2021-08-01 00:00:00","https://www.spectrocloud.com/news/spectro-cloud-announces-20m-completion-of-series-a-funding/"
"405","Spectro Cloud","https://github.com/kubernetes/kubernetes","Seed","7.50","2020","3","Sierra Ventures","1","1","kubernetes/kubernetes","2020-03-01 00:00:00","https://medium.com/spectro-cloud/hello-world-were-spectro-cloud-207d5f726414"
"406","Stackblitz","https://github.com/stackblitz/core","Seed","7.90","2022","4","Greylock","1","1","stackblitz/core","2022-04-01 00:00:00","https://blog.stackblitz.com/posts/seed-funding/"
"407","Stackhawk","https://github.com/zaproxy","A","10.00","2020","10","Sapphire Ventures","0","1","zaproxy","2020-10-01 00:00:00","https://www.stackhawk.com/blog/series-a-financing-announcement/"
"408","Stackhawk","https://github.com/zaproxy","B","20.70","2022","5","Costanoa Ventures","0","1","zaproxy","2022-05-01 00:00:00","https://www.stackhawk.com/blog/proudly-announcing-stackhawks-series-b/"
"409","Stacklet","https://github.com/cloud-custodian/cloud-custodian","Seed","4.40","2020","8","Foundation","1","1","cloud-custodian/cloud-custodian","2020-08-01 00:00:00","https://techcrunch.com/2020/08/12/stacklet-launches-cloud-governance-platform-with-4-4m-seed-investment/"
"410","Stacklet","https://github.com/cloud-custodian/cloud-custodian","A","18.00","2021","1","Addition","1","1","cloud-custodian/cloud-custodian","2021-01-01 00:00:00","https://stacklet.io/blog/stacklet-secures-18-million-in-series-a-funding"
"411","Starburst","https://github.com/trinodb/trino","B","42.00","2020","6","Coatue","1","1","trinodb/trino","2020-06-01 00:00:00","https://blog.starburstdata.com/starburst-announces-42-million-series-b"
"412","Starburst","https://github.com/trinodb/trino","C","118.00","2021","1","Andreessen Horowitz","1","1","trinodb/trino","2021-01-01 00:00:00","https://blog.starburstdata.com/starburst-announces-42-million-series-b"
"413","Starburst","https://github.com/trinodb/trino","D","250.00","2022","2","Alkeon Capital","1","1","trinodb/trino","2022-02-01 00:00:00","https://blog.starburst.io/starburst-announces-250m-series-d"
"414","StarTree","https://github.com/apache/pinot","B","47.00","2022","8","GGV Capital","1","1","apache/pinot","2022-08-01 00:00:00","https://techcrunch.com/2022/08/29/data-analytics-startup-startree-secures-cash-to-expand-its-pinot-powered-platform/"
"415","StarTree","https://github.com/apache/pinot","A","24.00","2021","5","Bain Capital Ventures","1","1","apache/pinot","2021-05-01 00:00:00","https://www.startree.ai/startree-press-release.html"
"416","Stellate","https://github.com/StellateHQ","A","25.00","2022","6","Tiger Global","0","1","StellateHQ","2022-06-01 00:00:00","https://stellate.co/blog/graphcdn-is-now-stellate"
"417","Stellate","https://github.com/StellateHQ","Seed","5.00","2021","12","boldstart ventures","0","1","StellateHQ","2021-12-01 00:00:00","https://stellate.co/blog/graphcdn-is-now-stellate"
"418","Strapi","https://github.com/strapi/strapi","A","10.00","2020","5","Index Ventures","1","1","strapi/strapi","2020-05-01 00:00:00","https://strapi.io/blog/announcing-strapi-10m-series-a-funding"
"419","Strapi","https://github.com/strapi/strapi","B","31.00","2022","6","CRV","1","1","strapi/strapi","2022-06-01 00:00:00","https://strapi.io/blog/series-b"
"420","Streamlit","https://github.com/streamlit/streamlit","B","35.00","2021","4","Sequoia Capital","1","1","streamlit/streamlit","2021-04-01 00:00:00","https://blog.streamlit.io/our-35-million-series-b/"
"421","Streamlit","https://github.com/streamlit/streamlit","A","21.00","2020","6","GGV Capital","1","1","streamlit/streamlit","2020-06-01 00:00:00","https://medium.com/streamlit/announcing-streamlits-21m-series-a-ae05daa6c885"
"422","StreamNative","https://github.com/apache/pulsar","A","23.00","2021","9","Prosperity7 Ventures","1","1","apache/pulsar","2021-09-01 00:00:00","https://www.prnewswire.com/news-releases/original-creators-of-apache-pulsar-raise-23m-series-a-for-streamnative-round-led-by-prosperity7-ventures-301375962.html"
"423","Styra","OPA","B","40.00","2021","5","Battery Ventures","0","0","","2021-05-01 00:00:00","https://blog.styra.com/blog/styra-raises-series-b-to-drive-cloud-native-authz"
"424","Suborbital","https://github.com/suborbital/e2core","Seed","1.60","2021","11","Amplify Partners","1","1","suborbital/atmo","2021-11-01 00:00:00","https://techcrunch.com/2021/11/23/suborbital-raises-1-6m-for-its-webassembly-platform/?tpcc=tcplustwitter"
"425","Supabase","https://git.postgresql.org/gitweb/","B","80.00","2022","5","Felicis","0","0","","2022-05-01 00:00:00","https://techcrunch.com/2022/05/10/supabase-raises-80m-series-b-for-its-open-source-firebase-alternative/"
"426","Supabase","https://git.postgresql.org/gitweb/","A","30.00","2021","9","Coatue","0","0","","2021-09-01 00:00:00","https://techcrunch.com/2021/09/09/supabase-raises-30m-for-its-open-source-insta-backend/"
"427","Supabase","https://git.postgresql.org/gitweb/","Seed","6.00","2020","12","Coatue","0","0","","2020-12-01 00:00:00","https://www.rocketnews.com/2020/12/supabase-raises-6m-for-its-open-source-firebase-alternative/"
"428","Superconductive","https://github.com/great-expectations/great_expectations","B","40.00","2022","2","Tiger Global","1","1","great-expectations/great_expectations","2022-02-01 00:00:00","https://techcrunch.com/2022/02/10/superconductive-creators-of-great-expectations-raises-40m-to-launch-a-commercial-version-of-its-open-source-data-quality-tool/"
"429","Superconductive","https://github.com/great-expectations/great_expectations","A","21.00","2021","5","Index Ventures","1","1","great-expectations/great_expectations","2021-05-01 00:00:00","https://greatexpectations.io/blog/series-a-announcement/"
"430","Sync Computing","https://github.com/apache/spark","Seed","6.10","2022","1","Moore Strategic Ventures","1","1","apache/spark","2022-01-01 00:00:00","https://synccomputing.com/distributed-cloud-infrastructure-innovator-sync-computing-emerges-from-stealth-brings-in-6-1-million/"
"431","Sync Computing","https://github.com/apache/spark","Seed","15.50","2022","8","Costanoa Ventures","1","1","apache/spark","2022-08-01 00:00:00","https://techcrunch.com/2022/08/16/sync-computing-rakes-in-15-5m-to-automatically-optimize-cloud-resources/"
